;Unnamed: 0;Value;tweet;cleaning;tweet_tokens;tweet_tokens_fdist;tweet_token_WSW;normalization;text_stemming;tweet_stopwords
0;0;Negatif;yuk kenali setiap warna yang ada dari pedulilindungi pentingnyavaksinasikuatanimun ikhtiaratasipandemi  httpstcojenivcyafk;yuk kenali setiap warna yang ada dari pedulilindungi pentingnyavaksinasikuatanimun ikhtiaratasipandemi httpstcojenivcyafk;['yuk', 'kenali', 'setiap', 'warna', 'yang', 'ada', 'dari', 'pedulilindungi', 'pentingnyavaksinasikuatanimun', 'ikhtiaratasipandemi', 'httpstcojenivcyafk'];<FreqDist with 11 samples and 11 outcomes>;['kenali', 'warna', 'pedulilindungi'];kenali warna pedulilindungi pentingnyavaksinasikuatanimun ikhtiaratasipandemi httpstcojenivcyafk;kenal warna pedulilindungi;['kenali', 'warna', 'pedulilindungi', 'pentingnyavaksinasikuatanimun', 'ikhtiaratasipandemi', 'httpstcojenivcyafk']
1;1;Negatif;yth plindungi kemenkesri status saya di aplikasi peduli lindungi tiba berubah menjadi hitam padahal saya tidak pernah melakukan test pcr atau antigen dengan hasil positif dan saya juga tidak ada kontak erat dengan pasein covid;yth plindungi kemenkesri status saya di aplikasi peduli lindungi tiba berubah menjadi hitam padahal saya tidak pernah melakukan test pcr atau antigen dengan hasil positif dan saya juga tidak ada kontak erat dengan pasein covid;['yth', 'plindungi', 'kemenkesri', 'status', 'saya', 'di', 'aplikasi', 'peduli', 'lindungi', 'tiba', 'berubah', 'menjadi', 'hitam', 'padahal', 'saya', 'tidak', 'pernah', 'melakukan', 'test', 'pcr', 'atau', 'antigen', 'dengan', 'hasil', 'positif', 'dan', 'saya', 'juga', 'tidak', 'ada', 'kontak', 'erat', 'dengan', 'pasein', 'covid'];<FreqDist with 31 samples and 35 outcomes>;['status', 'aplikasi', 'peduli', 'lindungi', 'berubah', 'hitam', 'test', 'pcr', 'antigen', 'hasil', 'positif', 'kontak', 'erat', 'pasein', 'covid'];plindungi kemenkesri status aplikasi peduli lindungi berubah hitam test pcr antigen hasil positif kontak erat pasein covid;status aplikasi peduli lindung ubah hitam test pcr antigen hasil positif kontak erat pasein covid;['plindungi', 'kemenkesri', 'status', 'aplikasi', 'peduli', 'lindungi', 'berubah', 'hitam', 'test', 'pcr', 'antigen', 'hasil', 'positif', 'kontak', 'erat', 'pasein', 'covid']
2;2;Negatif;yang terakhir ehac di app peduli lindungi ini jelek bgt app ini padahal penting tapi ga didevelop bener sama programmernya kecewa titik;yang terakhir ehac di app peduli lindungi ini jelek bgt app ini padahal penting tapi ga didevelop bener sama programmernya kecewa titik;['yang', 'terakhir', 'ehac', 'di', 'app', 'peduli', 'lindungi', 'ini', 'jelek', 'bgt', 'app', 'ini', 'padahal', 'penting', 'tapi', 'ga', 'didevelop', 'bener', 'sama', 'programmernya', 'kecewa', 'titik'];<FreqDist with 20 samples and 22 outcomes>;['ehac', 'app', 'peduli', 'lindungi', 'jelek', 'app', 'didevelop', 'bener', 'programmernya', 'kecewa', 'titik'];ehac app peduli lindungi jelek app didevelop benar programmernya kecewa titik;ehac app peduli lindung jelek app didevelop benar programmernya kecewa titik;['ehac', 'app', 'peduli', 'lindungi', 'jelek', 'app', 'didevelop', 'bener', 'programmernya', 'kecewa', 'titik']
3;3;Negatif;yaallah rima udah pede banget jalan udah scan pedulilindungi padahal belum pake masker ð­;yaallah rima udah pede banget jalan udah scan pedulilindungi padahal belum pake masker;['yaallah', 'rima', 'udah', 'pede', 'banget', 'jalan', 'udah', 'scan', 'pedulilindungi', 'padahal', 'belum', 'pake', 'masker'];<FreqDist with 12 samples and 13 outcomes>;['yaallah', 'rima', 'pede', 'banget', 'jalan', 'scan', 'pedulilindungi', 'pake', 'masker'];yaallah rima percaya diri banget jalan scan pedulilindungi pakai masker;yaallah rima percaya diri banget jalan scan pedulilindungi pakai masker;['yaallah', 'rima', 'pede', 'banget', 'jalan', 'scan', 'pedulilindungi', 'pake', 'masker']
4;4;Negatif;ya udahlah udah bebaslah kemanamana kagak ada sekatsekatan kagak ada lagi pcrpcr an kagak ada lagi aplikasi peduli lindungi segala  umumkan sajalah covid sudah tak lagi jadi pandemi;ya udahlah udah bebaslah kemanamana kagak ada sekatsekatan kagak ada lagi pcrpcr an kagak ada lagi aplikasi peduli lindungi segala umumkan sajalah covid sudah tak lagi jadi pandemi;['ya', 'udahlah', 'udah', 'bebaslah', 'kemanamana', 'kagak', 'ada', 'sekatsekatan', 'kagak', 'ada', 'lagi', 'pcrpcr', 'an', 'kagak', 'ada', 'lagi', 'aplikasi', 'peduli', 'lindungi', 'segala', 'umumkan', 'sajalah', 'covid', 'sudah', 'tak', 'lagi', 'jadi', 'pandemi'];<FreqDist with 22 samples and 28 outcomes>;['bebaslah', 'kemanamana', 'sekatsekatan', 'pcrpcr', 'aplikasi', 'peduli', 'lindungi', 'umumkan', 'covid', 'pandemi'];bebaslah kemanamana sekatsekatan pcrpcr aplikasi peduli lindungi umumkan covid pandemi;bebas kemanamana sekatsekatan pcrpcr aplikasi peduli lindung umum covid pandemi;['bebaslah', 'kemanamana', 'sekatsekatan', 'pcrpcr', 'aplikasi', 'peduli', 'lindungi', 'umumkan', 'covid', 'pandemi']
5;5;Negatif;woyyy plindungi kemkominfo polripresisi ccicpolri nih dibaca;woyyy plindungi kemkominfo polripresisi ccicpolri nih dibaca;['woyyy', 'plindungi', 'kemkominfo', 'polripresisi', 'ccicpolri', 'nih', 'dibaca'];<FreqDist with 7 samples and 7 outcomes>;['dibaca'];plindungi kemkominfo polripresisi ccicpolri dibaca;baca;['plindungi', 'kemkominfo', 'polripresisi', 'ccicpolri', 'dibaca']
6;6;Negatif;wkkwwkkw app di singapur aja semacam pedulilindungi skrg cuma jdi formalitas dan diakalin pake screenshot di sana ð¤£ð¤£ apalagi di sini;wkkwwkkw app di singapur aja semacam pedulilindungi skrg cuma jdi formalitas dan diakalin pake screenshot di sana apalagi di sini;['wkkwwkkw', 'app', 'di', 'singapur', 'aja', 'semacam', 'pedulilindungi', 'skrg', 'cuma', 'jdi', 'formalitas', 'dan', 'diakalin', 'pake', 'screenshot', 'di', 'sana', 'apalagi', 'di', 'sini'];<FreqDist with 18 samples and 20 outcomes>;['wkkwwkkw', 'app', 'singapur', 'pedulilindungi', 'formalitas', 'diakalin', 'pake', 'screenshot'];wkkwwkkw app singapur pedulilindungi formalitas diakalin pakai screenshot;wkkwwkkw app singapur pedulilindungi formalitas diakalin pakai screenshot;['wkkwwkkw', 'app', 'singapur', 'pedulilindungi', 'formalitas', 'diakalin', 'pake', 'screenshot']
7;7;Negatif;wis tak hapus wae ben ayem ra arep checkin meneh plindungi;wis tak hapus wae ben ayem ra arep checkin meneh plindungi;['wis', 'tak', 'hapus', 'wae', 'ben', 'ayem', 'ra', 'arep', 'checkin', 'meneh', 'plindungi'];<FreqDist with 11 samples and 11 outcomes>;['hapus', 'wae', 'ayem', 'arep', 'checkin', 'meneh'];hapus wae ayem arep checkin meneh plindungi;hapus wae ayem arep checkin teh;['hapus', 'wae', 'ayem', 'arep', 'checkin', 'meneh', 'plindungi']
8;8;Negatif;wes paksin ping pindo  rung iso kedaftar nng peduli lindungi mergo nomere tak nge  orang piee ikið­âºï¸âºï¸;wes paksin ping pindo rung iso kedaftar nng peduli lindungi mergo nomere tak nge orang piee iki;['wes', 'paksin', 'ping', 'pindo', 'rung', 'iso', 'kedaftar', 'nng', 'peduli', 'lindungi', 'mergo', 'nomere', 'tak', 'nge', 'orang', 'piee', 'iki'];<FreqDist with 17 samples and 17 outcomes>;['wes', 'paksin', 'pindo', 'rung', 'iso', 'kedaftar', 'nng', 'peduli', 'lindungi', 'mergo', 'nomere'];wes paksin pindo rung iso kedaftar nng peduli lindungi mergo nomere;wes paksin pindo rung iso daftar nng peduli lindung mergo nomere;['wes', 'paksin', 'pindo', 'rung', 'iso', 'kedaftar', 'nng', 'peduli', 'lindungi', 'mergo', 'nomere']
9;9;Negatif;websitenya peduli lindungi kenapa gak bisa login nih kemenkesri plindungi;websitenya peduli lindungi kenapa gak bisa login nih kemenkesri plindungi;['websitenya', 'peduli', 'lindungi', 'kenapa', 'gak', 'bisa', 'login', 'nih', 'kemenkesri', 'plindungi'];<FreqDist with 10 samples and 10 outcomes>;['websitenya', 'peduli', 'lindungi', 'login'];websitenya peduli lindungi login kemenkesri plindungi;websitenya peduli lindung login;['websitenya', 'peduli', 'lindungi', 'login', 'kemenkesri', 'plindungi']
