;Value;tweet;cleaning;tweet_tokens;tweet_stopwords
0;Negatif;Yuk kenali setiap warna yang ada dari PeduliLindungi #PentingnyaVaksinasiKuatanImun #IkhtiarAtasiPandemi  https://t.co/JenIvCYafK;yuk kenali setiap warna yang ada dari pedulilindungi;['yuk', 'kenali', 'setiap', 'warna', 'yang', 'ada', 'dari', 'pedulilindungi'];['kenali', 'warna', 'pedulilindungi']
1;Negatif;Yth @PLindungi @KemenkesRI status saya di aplikasi peduli lindungi tiba2 berubah menjadi ??hitam? padahal saya TIDAK PERNAH melakukan test PCR atau ANTIGEN dengan hasil positif dan saya juga TIDAK ADA KONTAK ERAT dengan pasein covid;yth status saya di aplikasi peduli lindungi tiba berubah menjadi hitam padahal saya tidak pernah melakukan test pcr atau antigen dengan hasil positif dan saya juga tidak ada kontak erat dengan pasein covid;['yth', 'status', 'saya', 'di', 'aplikasi', 'peduli', 'lindungi', 'tiba', 'berubah', 'menjadi', 'hitam', 'padahal', 'saya', 'tidak', 'pernah', 'melakukan', 'test', 'pcr', 'atau', 'antigen', 'dengan', 'hasil', 'positif', 'dan', 'saya', 'juga', 'tidak', 'ada', 'kontak', 'erat', 'dengan', 'pasein', 'covid'];['status', 'aplikasi', 'peduli', 'lindungi', 'berubah', 'hitam', 'test', 'pcr', 'antigen', 'hasil', 'positif', 'kontak', 'erat', 'pasein', 'covid']
2;Negatif;Yang terakhir, EHac di app peduli lindungi ini jelek bgt. App ini padahal penting tapi ga didevelop bener2 sama programmernya. Kecewa titik.;yang terakhir ehac di app peduli lindungi ini jelek bgt app ini padahal penting tapi ga didevelop bener sama programmernya kecewa titik;['yang', 'terakhir', 'ehac', 'di', 'app', 'peduli', 'lindungi', 'ini', 'jelek', 'bgt', 'app', 'ini', 'padahal', 'penting', 'tapi', 'ga', 'didevelop', 'bener', 'sama', 'programmernya', 'kecewa', 'titik'];['ehac', 'app', 'peduli', 'lindungi', 'jelek', 'app', 'didevelop', 'bener', 'programmernya', 'kecewa', 'titik']
3;Negatif;yaallah rima udah pede banget jalan, udah scan pedulilindungi padahal belum pake masker ð­;yaallah rima udah pede banget jalan udah scan pedulilindungi padahal belum pake masker;['yaallah', 'rima', 'udah', 'pede', 'banget', 'jalan', 'udah', 'scan', 'pedulilindungi', 'padahal', 'belum', 'pake', 'masker'];['yaallah', 'rima', 'pede', 'banget', 'jalan', 'scan', 'pedulilindungi', 'pake', 'masker']
4;Negatif;ya udahlah... udah bebaslah kemana-mana. kagak ada sekat-sekatan, kagak ada lagi pcr-pcr an, kagak ada lagi aplikasi peduli lindungi segala....  Umumkan sajalah Covid19 sudah tak lagi jadi pandemi.;ya udahlah udah bebaslah kemanamana kagak ada sekatsekatan kagak ada lagi pcrpcr an kagak ada lagi aplikasi peduli lindungi segala umumkan sajalah covid sudah tak lagi jadi pandemi;['ya', 'udahlah', 'udah', 'bebaslah', 'kemanamana', 'kagak', 'ada', 'sekatsekatan', 'kagak', 'ada', 'lagi', 'pcrpcr', 'an', 'kagak', 'ada', 'lagi', 'aplikasi', 'peduli', 'lindungi', 'segala', 'umumkan', 'sajalah', 'covid', 'sudah', 'tak', 'lagi', 'jadi', 'pandemi'];['bebaslah', 'kemanamana', 'sekatsekatan', 'pcrpcr', 'aplikasi', 'peduli', 'lindungi', 'umumkan', 'covid', 'pandemi']
5;Negatif;Woyyy @PLindungi @kemkominfo @Polripresisi @CCICPolri nih DIBACA!;woyyy nih dibaca;['woyyy', 'nih', 'dibaca'];['dibaca']
6;Negatif;WKKWWKKW. App di singapur aja (semacam pedulilindungi) skrg cuma jdi formalitas dan diakalin pake screenshot di sana ð¤£ð¤£. Apalagi di sini;wkkwwkkw app di singapur aja semacam pedulilindungi skrg cuma jdi formalitas dan diakalin pake screenshot di sana apalagi di sini;['wkkwwkkw', 'app', 'di', 'singapur', 'aja', 'semacam', 'pedulilindungi', 'skrg', 'cuma', 'jdi', 'formalitas', 'dan', 'diakalin', 'pake', 'screenshot', 'di', 'sana', 'apalagi', 'di', 'sini'];['wkkwwkkw', 'app', 'singapur', 'pedulilindungi', 'formalitas', 'diakalin', 'pake', 'screenshot']
7;Negatif;Wis tak hapus wae ben ayem, ra arep check-in meneh @PLindungi;wis tak hapus wae ben ayem ra arep checkin meneh;['wis', 'tak', 'hapus', 'wae', 'ben', 'ayem', 'ra', 'arep', 'checkin', 'meneh'];['hapus', 'wae', 'ayem', 'arep', 'checkin', 'meneh']
8;Negatif;Wes paksin ping pindo , rung iso kedaftar nng peduli lindungi, mergo nomere tak nge 2 orang, piee Iki!!!ð­âºï¸âºï¸;wes paksin ping pindo rung iso kedaftar nng peduli lindungi mergo nomere tak nge orang piee iki;['wes', 'paksin', 'ping', 'pindo', 'rung', 'iso', 'kedaftar', 'nng', 'peduli', 'lindungi', 'mergo', 'nomere', 'tak', 'nge', 'orang', 'piee', 'iki'];['wes', 'paksin', 'pindo', 'rung', 'iso', 'kedaftar', 'nng', 'peduli', 'lindungi', 'mergo', 'nomere']
9;Negatif;Websitenya peduli lindungi kenapa gak bisa log-in nih??!! @KemenkesRI @PLindungi;websitenya peduli lindungi kenapa gak bisa login nih;['websitenya', 'peduli', 'lindungi', 'kenapa', 'gak', 'bisa', 'login', 'nih'];['websitenya', 'peduli', 'lindungi', 'login']
