;Value;tweet;cleaning;tweet_tokens
0;Negatif;yuk kenali setiap warna yang ada dari pedulilindungi #pentingnyavaksinasikuatanimun #ikhtiaratasipandemi  https://t.co/jenivcyafk;yuk kenali setiap warna yang ada dari pedulilindungi;['yuk', 'kenali', 'setiap', 'warna', 'yang', 'ada', 'dari', 'pedulilindungi']
1;Negatif;yth @plindungi @kemenkesri status saya di aplikasi peduli lindungi tiba2 berubah menjadi ??hitam? padahal saya tidak pernah melakukan test pcr atau antigen dengan hasil positif dan saya juga tidak ada kontak erat dengan pasein covid;yth status saya di aplikasi peduli lindungi tiba berubah menjadi hitam padahal saya tidak pernah melakukan test pcr atau antigen dengan hasil positif dan saya juga tidak ada kontak erat dengan pasein covid;['yth', 'status', 'saya', 'di', 'aplikasi', 'peduli', 'lindungi', 'tiba', 'berubah', 'menjadi', 'hitam', 'padahal', 'saya', 'tidak', 'pernah', 'melakukan', 'test', 'pcr', 'atau', 'antigen', 'dengan', 'hasil', 'positif', 'dan', 'saya', 'juga', 'tidak', 'ada', 'kontak', 'erat', 'dengan', 'pasein', 'covid']
2;Negatif;yang terakhir, ehac di app peduli lindungi ini jelek bgt. app ini padahal penting tapi ga didevelop bener2 sama programmernya. kecewa titik.;yang terakhir ehac di app peduli lindungi ini jelek bgt app ini padahal penting tapi ga didevelop bener sama programmernya kecewa titik;['yang', 'terakhir', 'ehac', 'di', 'app', 'peduli', 'lindungi', 'ini', 'jelek', 'bgt', 'app', 'ini', 'padahal', 'penting', 'tapi', 'ga', 'didevelop', 'bener', 'sama', 'programmernya', 'kecewa', 'titik']
3;Negatif;yaallah rima udah pede banget jalan, udah scan pedulilindungi padahal belum pake masker ð­;yaallah rima udah pede banget jalan udah scan pedulilindungi padahal belum pake masker;['yaallah', 'rima', 'udah', 'pede', 'banget', 'jalan', 'udah', 'scan', 'pedulilindungi', 'padahal', 'belum', 'pake', 'masker']
4;Negatif;ya udahlah... udah bebaslah kemana-mana. kagak ada sekat-sekatan, kagak ada lagi pcr-pcr an, kagak ada lagi aplikasi peduli lindungi segala....  umumkan sajalah covid19 sudah tak lagi jadi pandemi.;ya udahlah udah bebaslah kemanamana kagak ada sekatsekatan kagak ada lagi pcrpcr an kagak ada lagi aplikasi peduli lindungi segala umumkan sajalah covid sudah tak lagi jadi pandemi;['ya', 'udahlah', 'udah', 'bebaslah', 'kemanamana', 'kagak', 'ada', 'sekatsekatan', 'kagak', 'ada', 'lagi', 'pcrpcr', 'an', 'kagak', 'ada', 'lagi', 'aplikasi', 'peduli', 'lindungi', 'segala', 'umumkan', 'sajalah', 'covid', 'sudah', 'tak', 'lagi', 'jadi', 'pandemi']
5;Negatif;woyyy @plindungi @kemkominfo @polripresisi @ccicpolri nih dibaca!;woyyy nih dibaca;['woyyy', 'nih', 'dibaca']
6;Negatif;wkkwwkkw. app di singapur aja (semacam pedulilindungi) skrg cuma jdi formalitas dan diakalin pake screenshot di sana ð¤£ð¤£. apalagi di sini;wkkwwkkw app di singapur aja semacam pedulilindungi skrg cuma jdi formalitas dan diakalin pake screenshot di sana apalagi di sini;['wkkwwkkw', 'app', 'di', 'singapur', 'aja', 'semacam', 'pedulilindungi', 'skrg', 'cuma', 'jdi', 'formalitas', 'dan', 'diakalin', 'pake', 'screenshot', 'di', 'sana', 'apalagi', 'di', 'sini']
7;Negatif;wis tak hapus wae ben ayem, ra arep check-in meneh @plindungi;wis tak hapus wae ben ayem ra arep checkin meneh;['wis', 'tak', 'hapus', 'wae', 'ben', 'ayem', 'ra', 'arep', 'checkin', 'meneh']
8;Negatif;wes paksin ping pindo , rung iso kedaftar nng peduli lindungi, mergo nomere tak nge 2 orang, piee iki!!!ð­âºï¸âºï¸;wes paksin ping pindo rung iso kedaftar nng peduli lindungi mergo nomere tak nge orang piee iki;['wes', 'paksin', 'ping', 'pindo', 'rung', 'iso', 'kedaftar', 'nng', 'peduli', 'lindungi', 'mergo', 'nomere', 'tak', 'nge', 'orang', 'piee', 'iki']
9;Negatif;websitenya peduli lindungi kenapa gak bisa log-in nih??!! @kemenkesri @plindungi;websitenya peduli lindungi kenapa gak bisa login nih;['websitenya', 'peduli', 'lindungi', 'kenapa', 'gak', 'bisa', 'login', 'nih']
10;Negatif;waktu itu gue pernah ke mol, mau ngescan aplikasi pedulilindungi malah gabisa njrit malu bgt mana di depan orang ð¢;waktu itu gue pernah ke mol mau ngescan aplikasi pedulilindungi malah gabisa njrit malu bgt mana di depan orang;['waktu', 'itu', 'gue', 'pernah', 'ke', 'mol', 'mau', 'ngescan', 'aplikasi', 'pedulilindungi', 'malah', 'gabisa', 'njrit', 'malu', 'bgt', 'mana', 'di', 'depan', 'orang']
11;Negatif;w abis balik jkt blm pake peduli lindungi samsek yg artinya kehidupan hanyalah rs dan rumahð¥²ðð¥²ð; abis balik jkt blm pake peduli lindungi samsek yg artinya kehidupan hanyalah rs dan rumah;['abis', 'balik', 'jkt', 'blm', 'pake', 'peduli', 'lindungi', 'samsek', 'yg', 'artinya', 'kehidupan', 'hanyalah', 'rs', 'dan', 'rumah']
12;Negatif;vaksinnya atau sertifikat nya? sedangkan sy kasih kartu vaksinnya security gamau trima. gue bilang blm dpt sertifikat nya dia gamau tau, itu anda gak boleh masuk mall katanya. terus sy harus ngadu kemana dong pak/bu @plindungi solusinya apaaaa?;vaksinnya atau sertifikat nya sedangkan sy kasih kartu vaksinnya security gamau trima gue bilang blm dpt sertifikat nya dia gamau tau itu anda gak boleh masuk mall katanya terus sy harus ngadu kemana dong pakbu solusinya apaaaa;['vaksinnya', 'atau', 'sertifikat', 'nya', 'sedangkan', 'sy', 'kasih', 'kartu', 'vaksinnya', 'security', 'gamau', 'trima', 'gue', 'bilang', 'blm', 'dpt', 'sertifikat', 'nya', 'dia', 'gamau', 'tau', 'itu', 'anda', 'gak', 'boleh', 'masuk', 'mall', 'katanya', 'terus', 'sy', 'harus', 'ngadu', 'kemana', 'dong', 'pakbu', 'solusinya', 'apaaaa']
13;Negatif;vaksin pertama tidak terdaftar di peduli lindungi vaksin kedua lompat rono lompat rene, ealah ð;vaksin pertama tidak terdaftar di peduli lindungi vaksin kedua lompat rono lompat rene ealah;['vaksin', 'pertama', 'tidak', 'terdaftar', 'di', 'peduli', 'lindungi', 'vaksin', 'kedua', 'lompat', 'rono', 'lompat', 'rene', 'ealah']
14;Negatif;unsr! gaes mau tanya klo ikut tes suliet kan pke sertif vaksin, klo sy sdh vaksin tp sertif dk pck dibuka krn akun pedulilindungi eror. ad saran dk yo?;unsr gaes mau tanya klo ikut tes suliet kan pke sertif vaksin klo sy sdh vaksin tp sertif dk pck dibuka krn akun pedulilindungi eror ad saran dk yo;['unsr', 'gaes', 'mau', 'tanya', 'klo', 'ikut', 'tes', 'suliet', 'kan', 'pke', 'sertif', 'vaksin', 'klo', 'sy', 'sdh', 'vaksin', 'tp', 'sertif', 'dk', 'pck', 'dibuka', 'krn', 'akun', 'pedulilindungi', 'eror', 'ad', 'saran', 'dk', 'yo']
15;Negatif;uninstall pedulilindungi  install pedulisetan;uninstall pedulilindungi install pedulisetan;['uninstall', 'pedulilindungi', 'install', 'pedulisetan']
16;Negatif;uninstall pedulilindungi;uninstall pedulilindungi;['uninstall', 'pedulilindungi']
17;Negatif;udh vaksin 2 kali tapi sertifikat yg kedua belum keluar, tolonglahhh kerjasamanya @plindungi @pedulilindungi;udh vaksin kali tapi sertifikat yg kedua belum keluar tolonglahhh kerjasamanya;['udh', 'vaksin', 'kali', 'tapi', 'sertifikat', 'yg', 'kedua', 'belum', 'keluar', 'tolonglahhh', 'kerjasamanya']
18;Negatif;udh kirim email ke @plindungi soal sertifikat vaksin kedua yg belum muncul2 padahal udh vaksin dari tanggal 18 agustus. pagi ini dpt sms lgi malahan sertifikat vaksin pertama. kan yg gk ada duh sertifikat keduaaa, knpa jdi pertama lgi yg di kirimm????;udh kirim email ke soal sertifikat vaksin kedua yg belum muncul padahal udh vaksin dari tanggal agustus pagi ini dpt sms lgi malahan sertifikat vaksin pertama kan yg gk ada duh sertifikat keduaaa knpa jdi pertama lgi yg di kirimm;['udh', 'kirim', 'email', 'ke', 'soal', 'sertifikat', 'vaksin', 'kedua', 'yg', 'belum', 'muncul', 'padahal', 'udh', 'vaksin', 'dari', 'tanggal', 'agustus', 'pagi', 'ini', 'dpt', 'sms', 'lgi', 'malahan', 'sertifikat', 'vaksin', 'pertama', 'kan', 'yg', 'gk', 'ada', 'duh', 'sertifikat', 'keduaaa', 'knpa', 'jdi', 'pertama', 'lgi', 'yg', 'di', 'kirimm']
19;Negatif;udh gitu sekarang kaga usah tuh scan peduli lindungi lg yhaaa;udh gitu sekarang kaga usah tuh scan peduli lindungi lg yhaaa;['udh', 'gitu', 'sekarang', 'kaga', 'usah', 'tuh', 'scan', 'peduli', 'lindungi', 'lg', 'yhaaa']
20;Negatif;udah pada install aplikasi pedulilindungi kan? kalau belum, buruan install gih.  soalnya kalau mau masuk tempat wisata wajib menggunakan aplikasi ini  #wisatajagaprokes;udah pada install aplikasi pedulilindungi kan kalau belum buruan install gih soalnya kalau mau masuk tempat wisata wajib menggunakan aplikasi ini;['udah', 'pada', 'install', 'aplikasi', 'pedulilindungi', 'kan', 'kalau', 'belum', 'buruan', 'install', 'gih', 'soalnya', 'kalau', 'mau', 'masuk', 'tempat', 'wisata', 'wajib', 'menggunakan', 'aplikasi', 'ini']
21;Negatif;udah nge install peduli lindungi,tapi ko tetep aja ya ngerasa ga di peduliin;udah nge install peduli lindungitapi ko tetep aja ya ngerasa ga di peduliin;['udah', 'nge', 'install', 'peduli', 'lindungitapi', 'ko', 'tetep', 'aja', 'ya', 'ngerasa', 'ga', 'di', 'peduliin']
22;Negatif;udah klaim sendiri sertifikat nya (padahal harusnya auto ke input ga sih) tapi kok status di pedulilindungi masih merah? ada sertifikat tapi status merah, lucuð­  @plindungi  https://t.co/1myvvns2vs;udah klaim sendiri sertifikat nya padahal harusnya auto ke input ga sih tapi kok status di pedulilindungi masih merah ada sertifikat tapi status merah lucu;['udah', 'klaim', 'sendiri', 'sertifikat', 'nya', 'padahal', 'harusnya', 'auto', 'ke', 'input', 'ga', 'sih', 'tapi', 'kok', 'status', 'di', 'pedulilindungi', 'masih', 'merah', 'ada', 'sertifikat', 'tapi', 'status', 'merah', 'lucu']
